# solution to burger's equation
# N_grid = 31
# nu     = 1.000000e+00
# (a,b)  = ( -1.000000e+00 , 1.000000e+00 )
# t_end  = 1.000000e+00
# dt     = 1.000000e-06
# every  = 5000
t: 0.000000e+00 1.000000e+00
d: -1.224647e-16 -3.141593e+00 1.364242e-11
d: -1.720912e-02 -3.141127e+00 1.698472e-01
d: -6.859742e-02 -3.134192e+00 6.770294e-01
d: -1.531553e-01 -3.104529e+00 1.511583e+00
d: -2.682779e-01 -3.026427e+00 2.647797e+00
d: -4.085762e-01 -2.867408e+00 4.032486e+00
d: -5.646349e-01 -2.592885e+00 5.572723e+00
d: -7.221700e-01 -2.173089e+00 7.127532e+00
d: -8.621291e-01 -1.591809e+00 8.508874e+00
d: -9.622116e-01 -8.554646e-01 9.496648e+00
d: -1.000000e+00 -1.776357e-15 9.869604e+00
d: -9.573830e-01 9.073590e-01 9.448992e+00
d: -8.253408e-01 1.773853e+00 8.145787e+00
d: -6.077100e-01 2.494924e+00 5.997857e+00
d: -3.225156e-01 -2.839439e+199 3.183101e+00
d: -8.899408e-16 3.141593e+00 0.000000e+00
d: 3.225156e-01 2.973719e+00 -3.183101e+00
d: 6.077100e-01 2.494924e+00 -5.997857e+00
d: 8.253408e-01 1.773853e+00 -8.145787e+00
d: 9.573830e-01 9.073590e-01 -9.448992e+00
d: 1.000000e+00 1.776357e-15 -9.869604e+00
d: 9.622116e-01 -8.554646e-01 -9.496648e+00
d: 8.621291e-01 -1.591809e+00 -8.508874e+00
d: 7.221700e-01 -2.173089e+00 -7.127532e+00
d: 5.646349e-01 -2.592885e+00 -5.572723e+00
d: 4.085762e-01 -2.867408e+00 -4.032486e+00
d: 2.682779e-01 -3.026427e+00 -2.647797e+00
d: 1.531553e-01 -3.104529e+00 -1.511583e+00
d: 6.859742e-02 -3.134192e+00 -6.770294e-01
d: 1.720912e-02 -3.141127e+00 -1.698472e-01
d: 1.224647e-16 -3.141593e+00 -4.547474e-12
-----
t: 5.000000e-03 1.000000e+00
d: -1.224647e-16 -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: 1.224647e-16 -nan -nan
-----
t: 1.000000e-02 1.000000e+00
d: -1.224647e-16 -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: 1.224647e-16 -nan -nan
-----
t: 1.500000e-02 1.000000e+00
d: -1.224647e-16 -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
d: -nan -nan -nan
